forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;360;5;0.8;0.1;0.0057762265046662105;60
exponential;360;5;0.8;0.2;0.003850817669777474;60
exponential;360;10;0.3;0.1;0.00305170080185586;60
exponential;360;10;0.3;0.2;0.0011262919669671229;60
exponential;360;10;0.5;0.1;0.004470660867872501;60
exponential;360;10;0.5;0.2;0.002545252032983764;60
exponential;360;10;0.8;0.1;0.0057762265046662105;60
exponential;360;10;0.8;0.2;0.003850817669777474;60
exponential;360;30;0.3;0.1;0.00305170080185586;60
exponential;360;30;0.3;0.2;0.0011262919669671229;60
exponential;360;30;0.5;0.1;0.004470660867872501;60
exponential;360;30;0.5;0.2;0.002545252032983764;60
exponential;360;30;0.8;0.1;0.0057762265046662105;60
exponential;360;30;0.8;0.2;0.003850817669777474;60
exponential;360;60;0.3;0.1;0.00305170080185586;60
exponential;360;60;0.3;0.2;0.0011262919669671229;60
exponential;360;60;0.5;0.1;0.004470660867872501;60
exponential;360;60;0.5;0.2;0.002545252032983764;60
exponential;360;60;0.8;0.1;0.0057762265046662105;60
exponential;360;60;0.8;0.2;0.003850817669777474;60
exponential;360;120;0.3;0.1;0.00305170080185586;60
exponential;360;120;0.3;0.2;0.0011262919669671229;60
exponential;360;120;0.5;0.1;0.004470660867872501;60
exponential;360;120;0.5;0.2;0.002545252032983764;60
exponential;360;120;0.8;0.1;0.0057762265046662105;60
exponential;360;120;0.8;0.2;0.003850817669777474;60
exponential;360;180;0.3;0.1;0.00305170080185586;60
exponential;360;180;0.3;0.2;0.0011262919669671229;60
exponential;360;180;0.5;0.1;0.004470660867872501;60
exponential;360;180;0.5;0.2;0.002545252032983764;60
exponential;360;180;0.8;0.1;0.0057762265046662105;60
exponential;360;180;0.8;0.2;0.003850817669777474;60
exponential;360;240;0.3;0.1;0.00305170080185586;60
exponential;360;240;0.3;0.2;0.0011262919669671229;60
exponential;360;240;0.5;0.1;0.004470660867872501;60
exponential;360;240;0.5;0.2;0.002545252032983764;60
exponential;360;240;0.8;0.1;0.0057762265046662105;60
exponential;360;240;0.8;0.2;0.003850817669777474;60
exponential;360;300;0.3;0.1;0.00305170080185586;60
exponential;360;300;0.3;0.2;0.0011262919669671229;60
exponential;360;300;0.5;0.1;0.004470660867872501;60
exponential;360;300;0.5;0.2;0.002545252032983764;60
exponential;360;300;0.8;0.1;0.0057762265046662105;60
exponential;360;300;0.8;0.2;0.003850817669777474;60
exponential;360;360;0.3;0.1;0.00305170080185586;60
exponential;360;360;0.3;0.2;0.0011262919669671229;60
exponential;360;360;0.5;0.1;0.004470660867872501;60
exponential;360;360;0.5;0.2;0.002545252032983764;60
exponential;360;360;0.8;0.1;0.0057762265046662105;60
exponential;360;360;0.8;0.2;0.003850817669777474;60
exponential;720;0;0.3;0.1;0.00152585040092793;60
exponential;720;0;0.3;0.2;0.0005631459834835614;60
exponential;720;0;0.5;0.1;0.0022353304339362504;60
exponential;720;0;0.5;0.2;0.001272626016491882;60
exponential;720;0;0.8;0.1;0.0028881132523331052;60
exponential;720;0;0.8;0.2;0.001925408834888737;60
exponential;720;5;0.3;0.1;0.00152585040092793;60
exponential;720;5;0.3;0.2;0.0005631459834835614;60
exponential;720;5;0.5;0.1;0.0022353304339362504;60
